title,rank,date,artist,url,region,streams
Sunflower - Spider-Man: Into the Spider-Verse,1,2019-01-01,"Post Malone, Swae Lee",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,United States,1867789.0
Wow.,2,2019-01-01,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,United States,1564946.0
SICKO MODE,3,2019-01-01,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,United States,1454622.0
"thank u, next",4,2019-01-01,Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,United States,1397512.0
Going Bad (feat. Drake),5,2019-01-01,Meek Mill,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,United States,1245437.0
Mo Bamba,6,2019-01-01,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,United States,1188824.0
Drip Too Hard (Lil Baby & Gunna),7,2019-01-01,Lil Baby,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,United States,1178459.0
ZEZE (feat. Travis Scott & Offset),8,2019-01-01,Kodak Black,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,United States,1163374.0
Without Me,9,2019-01-01,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,United States,972371.0
Leave Me Alone,10,2019-01-01,Flipp Dinero,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,United States,858875.0
Lucid Dreams,11,2019-01-01,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,United States,804928.0
Wake Up in the Sky,12,2019-01-01,"Gucci Mane, Bruno Mars, Kodak Black",https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,United States,800164.0
Happier,13,2019-01-01,"Marshmello, Bastille",https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,United States,736137.0
a lot,14,2019-01-01,21 Savage,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,United States,708965.0
